"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6262e-08,4.6262e-08,1e-09,0,0,0,0,0,0,1,6.3977e-15,0,0,0,0,0,0,-1.4211e-14,49.05,1000,1000,0,1,0,0,0.005,0.005
4.7062e-08,4.7061e-08,1e-09,8.2883e-16,0,0,-1.1467e-14,0,0,1,6.4933e-15,-2.8187e-13,0,0,-2.8187e-16,0,0,-2.2536e-09,49.05,1000,1000,0,1,0.005,0.005,0.005,0.005
4.7862e-08,4.7861e-08,1e-09,1.6577e-15,0,0,-2.2934e-14,0,0,1,6.5888e-15,-5.6374e-13,0,0,-5.6374e-16,0,0,-4.5072e-09,49.05,1000,1000,0,1,0.01,0.01,0.005,0.005
4.8661e-08,4.8661e-08,1e-09,2.4865e-15,0,0,-3.4402e-14,0,0,1,6.6844e-15,-8.4561e-13,0,0,-8.4561e-16,0,0,-6.7608e-09,49.05,1000,1000,0,1,0.015,0.015,0.005,0.005
4.9461e-08,4.946e-08,1e-09,3.3153e-15,0,0,-4.5869e-14,0,0,1,6.78e-15,-1.1275e-12,0,0,-1.1275e-15,0,0,-9.0144e-09,49.05,1000,1000,0,1,0.02,0.02,0.005,0.005
5.0261e-08,5.026e-08,1e-09,4.1442e-15,0,0,-5.7336e-14,0,0,1,6.8756e-15,-1.4093e-12,0,0,-1.4093e-15,0,0,-1.1268e-08,49.05,1000,1000,0,1,0.025,0.025,0.005,0.005
5.106e-08,5.106e-08,1e-09,4.973e-15,0,0,-6.8803e-14,0,0,1,6.9712e-15,-1.6912e-12,0,0,-1.6912e-15,0,0,-1.3522e-08,49.05,1000,1000,0,1,0.03,0.03,0.005,0.005
5.186e-08,5.1859e-08,1e-09,5.8018e-15,0,0,-8.027e-14,0,0,1,7.0667e-15,-1.9731e-12,0,0,-1.9731e-15,0,0,-1.5775e-08,49.05,1000,1000,0,1,0.035,0.035,0.005,0.005
5.266e-08,5.2659e-08,1e-09,6.6306e-15,0,0,-9.1738e-14,0,0,1,7.1623e-15,-2.255e-12,0,0,-2.255e-15,0,0,-1.8029e-08,49.05,1000,1000,0,1,0.04,0.04,0.005,0.005
5.346e-08,5.3459e-08,1e-09,7.4595e-15,0,0,-1.032e-13,0,0,1,7.2579e-15,-2.5368e-12,0,0,-2.5368e-15,0,0,-2.0282e-08,49.05,1000,1000,0,1,0.045,0.045,0.005,0.005
5.4259e-08,5.4258e-08,1e-09,8.2883e-15,0,0,-1.1467e-13,0,0,1,7.3535e-15,-2.8187e-12,0,0,-2.8187e-15,0,0,-2.2536e-08,49.05,1000,1000,1,1,0.05,0.05,0.005,0.005
5.6897e-08,5.6896e-08,1e-09,8.8001e-15,0,0,-1.1926e-13,0,0,1,7.6639e-15,-2.9184e-12,0,0,-2.9184e-15,0,0,-2.3995e-08,49.05,1000,1000,1,1,0.055,0.055,0.005,0.005
5.9535e-08,5.9535e-08,1e-09,9.3119e-15,0,0,-1.2385e-13,0,0,1,7.9744e-15,-3.0181e-12,0,0,-3.0181e-15,0,0,-2.5454e-08,49.05,1000,1000,1,1,0.06,0.06,0.005,0.005
6.2173e-08,6.2173e-08,1e-09,9.8237e-15,0,0,-1.2843e-13,0,0,1,8.2848e-15,-3.1178e-12,0,0,-3.1178e-15,0,0,-2.6913e-08,49.05,1000,1000,1,1,0.065,0.065,0.005,0.005
