"C","U:0","U:1","U:2","alpha.water","p_rgh","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,1,0,25,1,0,0.025,0,0.005
0,0,0,0,1,0,25,1,5e-05,0.025,5e-05,0.005
0,0,0,0,1,0,25,1,0.0001,0.025,0.0001,0.005
0,0,0,0,1,0,25,1,0.00015,0.025,0.00015,0.005
0,0,0,0,1,0,25,1,0.0002,0.025,0.0002,0.005
0,0,0,0,1,0,25,1,0.00025,0.025,0.00025,0.005
0,0,0,0,1,0,25,1,0.0003,0.025,0.0003,0.005
0,0,0,0,1,0,25,1,0.00035,0.025,0.00035,0.005
0,0,0,0,1,0,25,1,0.0004,0.025,0.0004,0.005
0,0,0,0,1,0,25,1,0.00045,0.025,0.00045,0.005
0,0,0,0,1,0,25,1,0.0005,0.025,0.0005,0.005
0,0,0,0,1,0,25,1,0.00055,0.025,0.00055,0.005
0,0,0,0,1,0,25,1,0.0006,0.025,0.0006,0.005
0,0,0,0,1,0,25,1,0.00065,0.025,0.00065,0.005
0,0,0,0,1,0,25,1,0.0007,0.025,0.0007,0.005
0,0,0,0,1,0,25,1,0.00075,0.025,0.00075,0.005
0,0,0,0,1,0,25,1,0.0008,0.025,0.0008,0.005
0,0,0,0,1,0,25,1,0.00085,0.025,0.00085,0.005
0,0,0,0,1,0,25,1,0.0009,0.025,0.0009,0.005
0,0,0,0,1,0,25,1,0.00095,0.025,0.00095,0.005
0,0,0,0,1,0,75,1,0.001,0.025,0.001,0.005
0,0,0,0,1,0,75,1,0.00105,0.025,0.00105,0.005
0,0,0,0,1,0,75,1,0.0011,0.025,0.0011,0.005
0,0,0,0,1,0,75,1,0.00115,0.025,0.00115,0.005
0,0,0,0,1,0,75,1,0.0012,0.025,0.0012,0.005
0,0,0,0,1,0,75,1,0.00125,0.025,0.00125,0.005
0,0,0,0,1,0,75,1,0.0013,0.025,0.0013,0.005
0,0,0,0,1,0,75,1,0.00135,0.025,0.00135,0.005
0,0,0,0,1,0,75,1,0.0014,0.025,0.0014,0.005
0,0,0,0,1,0,75,1,0.00145,0.025,0.00145,0.005
0,0,0,0,1,0,75,1,0.0015,0.025,0.0015,0.005
0,0,0,0,1,0,75,1,0.00155,0.025,0.00155,0.005
0,0,0,0,1,0,75,1,0.0016,0.025,0.0016,0.005
0,0,0,0,1,0,75,1,0.00165,0.025,0.00165,0.005
0,0,0,0,1,0,75,1,0.0017,0.025,0.0017,0.005
0,0,0,0,1,0,75,1,0.00175,0.025,0.00175,0.005
0,0,0,0,1,0,75,1,0.0018,0.025,0.0018,0.005
0,0,0,0,1,0,75,1,0.00185,0.025,0.00185,0.005
0,0,0,0,1,0,75,1,0.0019,0.025,0.0019,0.005
0,0,0,0,1,0,75,1,0.00195,0.025,0.00195,0.005
