"C","C_0","DT","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","alpha.water","ddt0(C)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","p_rgh","rho","rho_0","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.791e-07,4.7878e-07,5e-06,0,0,0,0,0,0,1,3.2393e-10,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0,2.5,0,0.005
6.4761e-07,6.4719e-07,5e-06,0,0,0,0,0,0,1,4.2054e-10,0,0,0,0,0,0,0,49.05,1000,1000,25,1,0.05,2.5,0.05,0.005
1.5239e-06,1.523e-06,5e-06,0,0,0,0,0,0,1,9.0034e-10,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.15,2.5,0.15,0.005
1.5239e-06,1.523e-06,5e-06,0,0,0,0,0,0,1,9.0034e-10,0,0,0,0,0,0,0,49.05,1000,1000,75,1,0.15,2.5,0.15,0.005
4.2831e-06,4.2808e-06,5e-06,0,0,0,0,0,0,1,2.2997e-09,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.25,2.5,0.25,0.005
4.2831e-06,4.2808e-06,5e-06,0,0,0,0,0,0,1,2.2997e-09,0,0,0,0,0,0,0,49.05,1000,1000,125,1,0.25,2.5,0.25,0.005
1.1871e-05,1.1865e-05,5e-06,0,0,0,0,0,0,1,5.7876e-09,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.35,2.5,0.35,0.005
1.1871e-05,1.1865e-05,5e-06,0,0,0,0,0,0,1,5.7876e-09,0,0,0,0,0,0,0,49.05,1000,1000,175,1,0.35,2.5,0.35,0.005
3.1665e-05,3.1651e-05,5e-06,0,0,0,0,0,0,1,1.3936e-08,0,0,0,0,0,0,0,49.05,1000,1000,225,1,0.45,2.5,0.45,0.005
3.1665e-05,3.1651e-05,5e-06,0,0,0,0,0,0,1,1.3936e-08,0,0,0,0,0,0,0,49.05,1000,1000,225,1,0.45,2.5,0.45,0.005
