"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.5,1e-06,0,0,0,1,0,0,1000,0,1,0,0.0005,0,0.0005
0.59493,1e-06,0,2.5789e-20,0,1,-1.2879e-20,-1.2879e-20,1000,1,1,0.01,0.0005,0.01,0.0005
0.65821,1e-06,0,2.1399e-20,0,1,-1.2969e-20,-1.2969e-20,1000,2,1,0.016667,0.0005,0.016667,0.0005
0.7215,1e-06,0,1.9378e-20,0,1,-1.2401e-20,-1.2401e-20,1000,3,1,0.023333,0.0005,0.023333,0.0005
0.78478,1e-06,0,1.9264e-20,0,1,-1.2234e-20,-1.2234e-20,1000,4,1,0.03,0.0005,0.03,0.0005
0.84807,1e-06,0,1.9452e-20,0,1,-1.2249e-20,-1.2249e-20,1000,5,1,0.036667,0.0005,0.036667,0.0005
0.91135,1e-06,0,1.9516e-20,0,1,-1.227e-20,-1.227e-20,1000,6,1,0.043333,0.0005,0.043333,0.0005
0.97464,1e-06,0,1.9513e-20,0,1,-1.2274e-20,-1.2274e-20,1000,7,1,0.05,0.0005,0.05,0.0005
1.0379,1e-06,0,1.9505e-20,0,1,-1.2272e-20,-1.2272e-20,1000,8,1,0.056667,0.0005,0.056667,0.0005
1.1012,1e-06,0,1.9504e-20,0,1,-1.227e-20,-1.227e-20,1000,9,1,0.063333,0.0005,0.063333,0.0005
1.1645,1e-06,0,1.9504e-20,0,1,-1.2269e-20,-1.2269e-20,1000,10,1,0.07,0.0005,0.07,0.0005
1.2278,1e-06,0,1.9504e-20,0,1,-1.2269e-20,-1.2269e-20,1000,11,1,0.076667,0.0005,0.076667,0.0005
1.2911,1e-06,0,1.9504e-20,0,1,-1.2268e-20,-1.2268e-20,1000,12,1,0.083333,0.0005,0.083333,0.0005
1.3544,1e-06,0,1.9504e-20,0,1,-1.2267e-20,-1.2267e-20,1000,13,1,0.09,0.0005,0.09,0.0005
1.4176,1e-06,0,1.9504e-20,0,1,-1.2266e-20,-1.2266e-20,1000,14,1,0.096667,0.0005,0.096667,0.0005
1.4809,1e-06,0,1.9504e-20,0,1,-1.2266e-20,-1.2266e-20,1000,15,1,0.10333,0.0005,0.10333,0.0005
1.5442,1e-06,0,1.9504e-20,0,1,-1.2265e-20,-1.2265e-20,1000,16,1,0.11,0.0005,0.11,0.0005
1.6075,1e-06,0,1.9504e-20,0,1,-1.2264e-20,-1.2264e-20,1000,17,1,0.11667,0.0005,0.11667,0.0005
1.6708,1e-06,0,1.9504e-20,0,1,-1.2263e-20,-1.2263e-20,1000,18,1,0.12333,0.0005,0.12333,0.0005
1.7341,1e-06,0,1.9504e-20,0,1,-1.2263e-20,-1.2263e-20,1000,19,1,0.13,0.0005,0.13,0.0005
1.7974,1e-06,0,1.9504e-20,0,1,-1.2262e-20,-1.2262e-20,1000,20,1,0.13667,0.0005,0.13667,0.0005
1.8607,1e-06,0,1.9504e-20,0,1,-1.2261e-20,-1.2261e-20,1000,21,1,0.14333,0.0005,0.14333,0.0005
1.924,1e-06,0,1.9504e-20,0,1,-1.226e-20,-1.226e-20,1000,22,1,0.15,0.0005,0.15,0.0005
1.9873,1e-06,0,1.9504e-20,0,1,-1.226e-20,-1.226e-20,1000,23,1,0.15667,0.0005,0.15667,0.0005
2.0506,1e-06,0,1.9504e-20,0,1,-1.2259e-20,-1.2259e-20,1000,24,1,0.16333,0.0005,0.16333,0.0005
2.1138,1e-06,0,1.9504e-20,0,1,-1.2258e-20,-1.2258e-20,1000,25,1,0.17,0.0005,0.17,0.0005
2.1771,1e-06,0,1.9504e-20,0,1,-1.2257e-20,-1.2257e-20,1000,26,1,0.17667,0.0005,0.17667,0.0005
2.2404,1e-06,0,1.9504e-20,0,1,-1.2257e-20,-1.2257e-20,1000,27,1,0.18333,0.0005,0.18333,0.0005
2.3037,1e-06,0,1.9504e-20,0,1,-1.2256e-20,-1.2256e-20,1000,28,1,0.19,0.0005,0.19,0.0005
2.367,1e-06,0,1.9504e-20,0,1,-1.2255e-20,-1.2255e-20,1000,29,1,0.19667,0.0005,0.19667,0.0005
2.4303,1e-06,0,1.9504e-20,0,1,-1.2254e-20,-1.2254e-20,1000,30,1,0.20333,0.0005,0.20333,0.0005
2.4936,1e-06,0,1.9504e-20,0,1,-1.2254e-20,-1.2254e-20,1000,31,1,0.21,0.0005,0.21,0.0005
2.5569,1e-06,0,1.9504e-20,0,1,-1.2253e-20,-1.2253e-20,1000,32,1,0.21667,0.0005,0.21667,0.0005
2.6202,1e-06,0,1.9504e-20,0,1,-1.2252e-20,-1.2252e-20,1000,33,1,0.22333,0.0005,0.22333,0.0005
2.6835,1e-06,0,1.9504e-20,0,1,-1.2251e-20,-1.2251e-20,1000,34,1,0.23,0.0005,0.23,0.0005
2.7468,1e-06,0,1.9504e-20,0,1,-1.2251e-20,-1.2251e-20,1000,35,1,0.23667,0.0005,0.23667,0.0005
2.8101,1e-06,0,1.9504e-20,0,1,-1.225e-20,-1.225e-20,1000,36,1,0.24333,0.0005,0.24333,0.0005
2.8734,1e-06,0,1.9504e-20,0,1,-1.2249e-20,-1.2249e-20,1000,37,1,0.25,0.0005,0.25,0.0005
2.9368,1e-06,0,1.9504e-20,0,1,-1.2248e-20,-1.2248e-20,1000,38,1,0.25667,0.0005,0.25667,0.0005
3.0001,1e-06,0,1.9504e-20,0,1,-1.2248e-20,-1.2248e-20,1000,39,1,0.26333,0.0005,0.26333,0.0005
3.0634,1e-06,0,1.9504e-20,0,1,-1.2247e-20,-1.2247e-20,1000,40,1,0.27,0.0005,0.27,0.0005
3.1267,1e-06,0,1.9504e-20,0,1,-1.2246e-20,-1.2246e-20,1000,41,1,0.27667,0.0005,0.27667,0.0005
3.19,1e-06,0,1.9504e-20,0,1,-1.2246e-20,-1.2246e-20,1000,42,1,0.28333,0.0005,0.28333,0.0005
3.2533,1e-06,0,1.9504e-20,0,1,-1.2245e-20,-1.2245e-20,1000,43,1,0.29,0.0005,0.29,0.0005
3.3166,1e-06,0,1.9504e-20,0,1,-1.2244e-20,-1.2244e-20,1000,44,1,0.29667,0.0005,0.29667,0.0005
3.3799,1e-06,0,1.9504e-20,0,1,-1.2243e-20,-1.2243e-20,1000,45,1,0.30333,0.0005,0.30333,0.0005
3.4432,1e-06,0,1.9504e-20,0,1,-1.2243e-20,-1.2243e-20,1000,46,1,0.31,0.0005,0.31,0.0005
3.5066,1e-06,0,1.9504e-20,0,1,-1.2242e-20,-1.2242e-20,1000,47,1,0.31667,0.0005,0.31667,0.0005
3.5699,1e-06,0,1.9504e-20,0,1,-1.2241e-20,-1.2241e-20,1000,48,1,0.32333,0.0005,0.32333,0.0005
