"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1e-07,0,0,0,1,0,0,1000,0,1,0,0.05,0,0.05
0.95755,1e-07,0,-8.4948e-23,0,1,3.6327e-21,3.6327e-21,1000,1,1,7.5e-05,0.05,7.5e-05,0.05
0.92931,1e-07,0,-8.4345e-23,0,1,4.03e-21,4.03e-21,1000,2,1,0.000125,0.05,0.000125,0.05
0.90116,1e-07,0,-7.9893e-23,0,1,3.9516e-21,3.9516e-21,1000,3,1,0.000175,0.05,0.000175,0.05
0.87314,1e-07,0,-7.8709e-23,0,1,3.8882e-21,3.8882e-21,1000,4,1,0.000225,0.05,0.000225,0.05
0.84527,1e-07,0,-7.8866e-23,0,1,3.8802e-21,3.8802e-21,1000,5,1,0.000275,0.05,0.000275,0.05
0.8176,1e-07,0,-7.9036e-23,0,1,3.8858e-21,3.8858e-21,1000,6,1,0.000325,0.05,0.000325,0.05
0.79015,1e-07,0,-7.9065e-23,0,1,3.889e-21,3.889e-21,1000,7,1,0.000375,0.05,0.000375,0.05
0.76297,1e-07,0,-7.9055e-23,0,1,3.8903e-21,3.8903e-21,1000,8,1,0.000425,0.05,0.000425,0.05
0.73607,1e-07,0,-7.905e-23,0,1,3.8912e-21,3.8912e-21,1000,9,1,0.000475,0.05,0.000475,0.05
0.7095,1e-07,0,-7.9049e-23,0,1,3.8922e-21,3.8922e-21,1000,10,1,0.000525,0.05,0.000525,0.05
0.68328,1e-07,0,-7.905e-23,0,1,3.8933e-21,3.8933e-21,1000,11,1,0.000575,0.05,0.000575,0.05
0.65744,1e-07,0,-7.905e-23,0,1,3.8944e-21,3.8944e-21,1000,12,1,0.000625,0.05,0.000625,0.05
0.63201,1e-07,0,-7.905e-23,0,1,3.8955e-21,3.8955e-21,1000,13,1,0.000675,0.05,0.000675,0.05
0.60701,1e-07,0,-7.905e-23,0,1,3.8966e-21,3.8966e-21,1000,14,1,0.000725,0.05,0.000725,0.05
0.58246,1e-07,0,-7.905e-23,0,1,3.8977e-21,3.8977e-21,1000,15,1,0.000775,0.05,0.000775,0.05
0.55839,1e-07,0,-7.905e-23,0,1,3.8988e-21,3.8988e-21,1000,16,1,0.000825,0.05,0.000825,0.05
0.53482,1e-07,0,-7.905e-23,0,1,3.8999e-21,3.8999e-21,1000,17,1,0.000875,0.05,0.000875,0.05
0.51176,1e-07,0,-7.905e-23,0,1,3.901e-21,3.901e-21,1000,18,1,0.000925,0.05,0.000925,0.05
0.48924,1e-07,0,-7.905e-23,0,1,3.9022e-21,3.9022e-21,1000,19,1,0.000975,0.05,0.000975,0.05
0.46727,1e-07,0,-7.905e-23,0,1,3.9033e-21,3.9033e-21,1000,20,1,0.001025,0.05,0.001025,0.05
0.44586,1e-07,0,-7.905e-23,0,1,3.9044e-21,3.9044e-21,1000,21,1,0.001075,0.05,0.001075,0.05
0.42502,1e-07,0,-7.905e-23,0,1,3.9055e-21,3.9055e-21,1000,22,1,0.001125,0.05,0.001125,0.05
0.40477,1e-07,0,-7.905e-23,0,1,3.9066e-21,3.9066e-21,1000,23,1,0.001175,0.05,0.001175,0.05
0.38511,1e-07,0,-7.905e-23,0,1,3.9077e-21,3.9077e-21,1000,24,1,0.001225,0.05,0.001225,0.05
0.36605,1e-07,0,-7.905e-23,0,1,3.9088e-21,3.9088e-21,1000,25,1,0.001275,0.05,0.001275,0.05
0.3476,1e-07,0,-7.905e-23,0,1,3.9099e-21,3.9099e-21,1000,26,1,0.001325,0.05,0.001325,0.05
0.32975,1e-07,0,-7.905e-23,0,1,3.911e-21,3.911e-21,1000,27,1,0.001375,0.05,0.001375,0.05
